Datetime,Temperature,ID
2020051316,48.61,45976052
2020051317,47.39,45976052
2020051318,45.57,45976052
2020051319,42.84,45976052
2020051320,40.41,45976052
2020051321,39.43,45976052
2020051322,38.52,45976052
2020051323,37.26,45976052
2020051400,36.34,45976052
2020051401,36.00,45976052
2020051402,35.98,45976052
2020051403,34.97,45976052
2020051404,34.12,45976052
2020051405,35.58,45976052
2020051406,36.37,45976052
2020051407,38.86,45976052
2020051408,42.10,45976052
2020051409,44.01,45976052
2020051410,45.59,45976052
2020051411,46.18,45976052
2020051412,47.08,45976052
2020051413,48.60,45976052
2020051414,49.68,45976052
2020051415,49.53,45976052
2020051416,48.81,45976052
2020051417,47.68,45976052
2020051418,45.90,45976052
2020051419,42.30,45976052
2020051420,38.97,45976052
2020051421,37.51,45976052
2020051422,36.19,45976052
2020051423,35.17,45976052
2020051500,34.66,45976052
2020051501,34.83,45976052
2020051502,34.84,45976052
2020051503,34.48,45976052
2020051504,35.31,45976052
2020051505,37.92,45976052
2020051506,40.10,45976052
2020051507,44.24,45976052
2020051508,46.29,45976052
2020051509,48.06,45976052
2020051510,49.75,45976052
2020051511,51.58,45976052
2020051512,53.44,45976052
2020051513,54.91,45976052
2020051514,55.76,45976052
2020051515,55.98,45976052
2020051516,55.63,45976052
2020051517,54.66,45976052
2020051518,52.38,45976052
2020051519,47.84,45976052
2020051520,45.28,45976052
2020051521,44.44,45976052
2020051522,43.59,45976052
2020051523,43.48,45976052
2020051600,43.16,45976052
2020051601,42.62,45976052
2020051602,41.36,45976052
2020051603,38.98,45976052
2020051604,37.58,45976052
2020051605,40.98,45976052
2020051606,44.15,45976052
2020051607,48.24,45976052
2020051608,50.13,45976052
2020051609,51.26,45976052
2020051610,50.95,45976052
2020051611,51.39,45976052
2020051612,53.04,45976052
2020051613,53.40,45976052
2020051614,53.60,45976052
2020051615,53.78,45976052
2020051616,53.13,45976052
2020051617,52.25,45976052
2020051618,50.76,45976052
2020051619,47.89,45976052
2020051620,45.37,45976052
2020051621,44.22,45976052
2020051622,43.09,45976052
2020051623,42.31,45976052
2020051700,41.61,45976052
2020051701,40.87,45976052
2020051702,40.17,45976052
2020051703,39.52,45976052
2020051704,39.38,45976052
2020051705,41.14,45976052
2020051706,44.20,45976052
2020051707,48.97,45976052
2020051708,50.36,45976052
2020051709,50.20,45976052
2020051710,50.13,45976052
2020051711,50.45,45976052
2020051712,50.99,45976052
2020051713,51.67,45976052
2020051714,52.63,45976052
2020051715,52.88,45976052
2020051716,52.66,45976052
2020051717,51.96,45976052
2020051718,50.38,45976052
2020051719,47.84,45976052
2020051720,45.34,45976052
2020051721,43.66,45976052
2020051722,42.39,45976052
2020051723,41.67,45976052
2020051800,41.65,45976052
2020051801,42.66,45976052
2020051802,43.52,45976052
2020051803,43.36,45976052
2020051804,43.11,45976052
2020051805,42.98,45976052
2020051806,43.61,45976052
2020051807,43.32,45976052
2020051808,42.89,45976052
2020051809,43.45,45976052
2020051810,45.43,45976052
2020051811,47.46,45976052
2020051812,49.37,45976052
2020051813,50.76,45976052
2020051814,51.82,45976052
2020051815,52.47,45976052
2020051816,52.34,45976052
2020051817,51.84,45976052
2020051818,50.25,45976052
2020051819,46.17,45976052
2020051820,42.75,45976052
2020051821,42.19,45976052
2020051822,41.90,45976052
2020051823,41.56,45976052
2020051900,41.11,45976052
2020051901,40.73,45976052
2020051902,40.71,45976052
2020051903,40.39,45976052
2020051904,40.19,45976052
2020051905,41.07,45976052
2020051906,42.42,45976052
2020051907,44.58,45976052
2020051908,46.85,45976052
2020051909,47.80,45976052
2020051910,49.05,45976052
2020051911,49.86,45976052
2020051912,51.33,45976052
2020051913,52.25,45976052
2020051914,52.39,45976052
2020051915,51.96,45976052
2020051916,51.31,45976052
2020051917,50.49,45976052
2020051918,49.82,45976052
2020051919,48.20,45976052
2020051920,46.89,45976052
2020051921,46.08,45976052
2020051922,45.59,45976052
2020051923,45.21,45976052
2020052000,44.55,45976052
2020052001,43.54,45976052
2020052002,42.44,45976052
2020052003,41.32,45976052
2020052004,40.51,45976052
2020052005,41.18,45976052
2020052006,43.05,45976052
2020052007,45.41,45976052
2020052008,47.57,45976052
2020052009,49.39,45976052
2020052010,50.77,45976052
2020052011,51.06,45976052
2020052012,50.99,45976052
2020052013,51.39,45976052
2020052014,51.46,45976052
2020052015,51.08,45976052
2020052016,50.41,45976052
2020052017,49.53,45976052
2020052018,48.00,45976052
2020052019,45.28,45976052
2020052020,42.30,45976052
2020052021,41.02,45976052
2020052022,39.85,45976052
2020052023,38.75,45976052
2020052100,37.63,45976052
2020052101,37.06,45976052
2020052102,37.17,45976052
2020052103,36.70,45976052
2020052104,36.30,45976052
2020052105,36.84,45976052
2020052106,38.01,45976052
2020052107,40.33,45976052
2020052108,44.17,45976052
2020052109,46.44,45976052
2020052110,46.71,45976052
2020052111,46.85,45976052
2020052112,46.51,45976052
2020052113,45.55,45976052
2020052114,45.03,45976052
2020052115,44.80,45976052
2020052116,44.15,45976052
2020052117,43.39,45976052
2020052118,42.31,45976052
2020052119,41.04,45976052
2020052120,39.36,45976052
2020052121,38.46,45976052
2020052122,37.35,45976052
2020052123,36.70,45976052
2020052200,36.61,45976052
2020052201,36.77,45976052
2020052202,37.04,45976052
2020052203,37.22,45976052
2020052204,37.04,45976052
2020052205,37.22,45976052
2020052206,37.72,45976052
2020052207,38.77,45976052
2020052208,42.17,45976052
2020052209,45.10,45976052
2020052210,47.35,45976052
2020052211,49.06,45976052
2020052212,49.98,45976052
2020052213,49.14,45976052
2020052214,48.60,45976052
2020052215,49.78,45976052
2020052216,50.52,45976052
2020052217,50.02,45976052
2020052218,48.40,45976052
2020052219,46.17,45976052
2020052220,44.53,45976052
2020052221,43.95,45976052
2020052222,43.29,45976052
2020052223,42.39,45976052
2022053100,47.66,120700038
2022053101,47.41,120700038
2022053102,47.01,120700038
2022053103,46.45,120700038
2022053104,45.63,120700038
2022053105,46.35,120700038
2022053106,47.86,120700038
2022053107,51.35,120700038
2022053108,54.88,120700038
2022053109,57.65,120700038
2022053110,59.56,120700038
2022053111,60.89,120700038
2022053112,61.72,120700038
2022053113,62.22,120700038
2022053114,62.47,120700038
2022053115,62.44,120700038
2022053116,62.55,120700038
2022053117,62.11,120700038
2022053118,60.80,120700038
2022053119,58.17,120700038
2022053120,56.07,120700038
2022053121,54.57,120700038
2022053122,53.26,120700038
2022053123,52.56,120700038
2022060100,51.55,120700038
2022060101,50.09,120700038
2022060102,48.72,120700038
2022060103,47.52,120700038
2022060104,48.16,120700038
2022060105,51.66,120700038
2022060106,53.96,120700038
2022060107,57.72,120700038
2022060108,61.54,120700038
2022060109,62.98,120700038
2022060110,63.55,120700038
2022060111,64.49,120700038
2022060112,65.41,120700038
2022060113,65.91,120700038
2022060114,66.06,120700038
2022060115,65.28,120700038
2022060116,63.64,120700038
2022060117,61.48,120700038
2022060118,60.33,120700038
2022060119,60.21,120700038
2022060120,59.99,120700038
2022060121,58.98,120700038
2022060122,56.79,120700038
2022060123,54.77,120700038
2022060200,52.72,120700038
2022060201,50.92,120700038
2022060202,49.64,120700038
2022060203,48.56,120700038
2022060204,49.01,120700038
2022060205,51.40,120700038
2022060206,53.44,120700038
2022060207,57.20,120700038
2022060208,61.88,120700038
2022060209,63.14,120700038
2022060210,63.45,120700038
2022060211,63.27,120700038
2022060212,63.28,120700038
2022060213,63.72,120700038
2022060214,64.35,120700038
2022060215,64.94,120700038
2022060216,64.38,120700038
2022060217,61.77,120700038
2022060218,58.96,120700038
2022060219,57.18,120700038
2022060220,53.76,120700038
2022060221,51.73,120700038
2022060222,49.98,120700038
2022060223,48.42,120700038
2022060300,47.12,120700038
2022060301,46.20,120700038
2022060302,45.61,120700038
2022060303,45.09,120700038
2022060304,45.97,120700038
2022060305,48.31,120700038
2022060306,51.15,120700038
2022060307,54.48,120700038
2022060308,57.51,120700038
2022060309,59.83,120700038
2022060310,61.52,120700038
2022060311,62.78,120700038
2022060312,63.59,120700038
2022060313,64.15,120700038
2022060314,64.54,120700038
2022060315,64.29,120700038
2022060316,63.46,120700038
2022060317,62.47,120700038
2022060318,60.64,120700038
2022060319,57.99,120700038
2022060320,54.27,120700038
2022060321,52.81,120700038
2022060322,52.20,120700038
2022060323,51.60,120700038
2022060400,51.15,120700038
2022060401,50.58,120700038
2022060402,50.00,120700038
